Comp.1,Comp.2,DPH,Temperature,SL,Cluster
1.834267438785024,0.4845309372358145,16,26,8.282,2
0.4303893879061132,0.3282555327579158,16,26,6.484,2
0.2846710853320213,0.1723594138842108,16,26,6.245,2
0.897769667450371,0.4296667350225326,16,26,7.19,2
1.1798566384149185,0.53129452760224,16,26,7.321,2
2.684139017748327,-0.013145414533594697,16,26,9.198,2
2.3987956627581126,0.29900642107916947,16,26,9.161,2
2.0964105447537915,0.20552002983191456,16,26,8.489,2
0.7592758101012511,0.3302986170367353,16,26,6.832,2
0.5656946478691864,0.4212289084048459,16,26,6.69,2
-0.6576119961207385,0.24030561184858962,16,26,4.967,1
-1.2201569338517384,0.0014038345946855175,16,26,4.378,1
-0.4770341326154366,0.12731858324054166,16,26,5.168,1
-1.5169959457316786,-0.08005758635886381,16,26,3.9,1
0.14244676689132846,0.13145082817349713,16,26,5.937,2
-1.0360618135430688,0.1401100821697474,16,26,4.585,1
-0.894880990651224,0.006757391526002123,16,26,4.751,1
-1.1136867230417444,0.11018231156267702,16,26,4.512,1
-0.3777308902477262,0.20790382035104882,16,26,5.411,1
-0.18272367966775416,0.13034281902260836,16,26,5.797,2
-0.8014847651797988,0.25987681079274755,16,26,4.751,1
-0.56918955398891,0.19833385477204496,16,26,5.245,1
-0.3092917271284511,0.27251364109303283,16,26,5.398,2
0.6106211041955716,0.34439017680666056,16,26,6.493,2
-0.22624401635934477,0.30583657971079947,16,26,5.393,2
-0.18931828956816332,0.24247261120232694,16,26,5.406,2
0.007039496349996194,0.27732875809809865,16,26,5.871,2
-0.33266760414693614,0.20033038657301305,16,26,5.429,2
-0.3133360585993634,0.17713382892910143,16,26,5.587,2
-0.3013868897167086,0.2439863954237772,16,26,5.595,2
1.5209169781765979,0.25708574074682466,20,26,7.869,2
0.21851627670058138,0.1718567845180631,20,26,6.084,2
